index	Ontology	GO id	GO term	value	pval	qval
3061	BP	GO:0006867	asparagine transport	1	1.0	1.0
3062	BP	GO:1904888	cranial skeletal system development	3	1.0	1.0
3063	BP	GO:0046597	negative regulation of viral entry into host cell	13	1.0	1.0
3064	BP	GO:0097036	regulation of plasma membrane sterol distribution	1	1.0	1.0
3065	BP	GO:1903430	negative regulation of cell maturation	3	1.0	1.0
3066	BP	GO:0090273	regulation of somatostatin secretion	1	1.0	1.0
3067	BP	GO:0098760	response to interleukin-7	6	1.0	1.0
3068	BP	GO:0061356	regulation of Wnt protein secretion	2	1.0	1.0
3069	BP	GO:1903846	positive regulation of cellular response to transforming growth factor beta stimulus	7	1.0	1.0
3070	BP	GO:0048343	paraxial mesodermal cell fate commitment	1	1.0	1.0
3071	BP	GO:0000018	regulation of DNA recombination	36	1.0	1.0
3072	BP	GO:0090085	regulation of protein deubiquitination	8	1.0	1.0
3073	BP	GO:0009149	pyrimidine nucleoside triphosphate catabolic process	1	1.0	1.0
3074	BP	GO:0018283	iron incorporation into metallo-sulfur cluster	1	1.0	1.0
3075	BP	GO:0090435	protein localization to nuclear envelope	3	1.0	1.0
3076	BP	GO:0060330	regulation of response to interferon-gamma	7	1.0	1.0
3077	BP	GO:2001245	regulation of phosphatidylcholine biosynthetic process	1	1.0	1.0
3078	BP	GO:0097752	regulation of DNA stability	1	1.0	1.0
3079	BP	GO:0046462	monoacylglycerol metabolic process	4	1.0	1.0
3080	BP	GO:0061670	evoked neurotransmitter secretion	1	1.0	1.0
3081	BP	GO:0070193	synaptonemal complex organization	14	1.0	1.0
3082	BP	GO:1902176	negative regulation of oxidative stress-induced intrinsic apoptotic signaling pathway	9	1.0	1.0
3083	BP	GO:0010803	regulation of tumor necrosis factor-mediated signaling pathway	24	1.0	1.0
3084	BP	GO:0003254	regulation of membrane depolarization	17	1.0	1.0
3085	BP	GO:0060113	inner ear receptor cell differentiation	4	1.0	1.0
3086	BP	GO:0030808	regulation of nucleotide biosynthetic process	20	1.0	1.0
3087	BP	GO:0036333	hepatocyte homeostasis	1	1.0	1.0
3088	BP	GO:0010886	positive regulation of cholesterol storage	3	1.0	1.0
3089	BP	GO:0030259	lipid glycosylation	1	1.0	1.0
3090	BP	GO:1903512	phytanic acid metabolic process	1	1.0	1.0
3091	BP	GO:1901673	regulation of mitotic spindle assembly	12	1.0	1.0
3092	BP	GO:0021591	ventricular system development	9	1.0	1.0
3093	BP	GO:0044314	protein K27-linked ubiquitination	2	1.0	1.0
3094	BP	GO:1902803	regulation of synaptic vesicle transport	2	1.0	1.0
3095	BP	GO:0060136	embryonic process involved in female pregnancy	3	1.0	1.0
3096	BP	GO:0006298	mismatch repair	12	1.0	1.0
3097	BP	GO:0006413	translational initiation	34	1.0	1.0
3098	BP	GO:1903431	positive regulation of cell maturation	2	1.0	1.0
3099	BP	GO:0006561	proline biosynthetic process	3	1.0	1.0
3100	BP	GO:0045607	regulation of inner ear auditory receptor cell differentiation	3	1.0	1.0
3101	BP	GO:0060840	artery development	15	1.0	1.0
3102	BP	GO:1905437	positive regulation of histone H3-K4 trimethylation	1	1.0	1.0
3103	BP	GO:0001702	gastrulation with mouth forming second	8	1.0	1.0
3104	BP	GO:1901700	response to oxygen-containing compound	558	1.0	1.0
3105	BP	GO:0051838	cytolysis by host of symbiont cells	4	1.0	1.0
3106	BP	GO:0045986	negative regulation of smooth muscle contraction	5	1.0	1.0
3107	BP	GO:0055093	response to hyperoxia	8	1.0	1.0
3108	BP	GO:0046586	regulation of calcium-dependent cell-cell adhesion	1	1.0	1.0
3109	BP	GO:1904749	regulation of protein localization to nucleolus	6	1.0	1.0
3110	BP	GO:0061952	midbody abscission	12	1.0	1.0
3111	BP	GO:1904350	regulation of protein catabolic process in the vacuole	5	1.0	1.0
3112	BP	GO:0010660	regulation of muscle cell apoptotic process	28	1.0	1.0
3113	BP	GO:0032105	negative regulation of response to extracellular stimulus	9	1.0	1.0
3114	BP	GO:1903525	regulation of membrane tubulation	3	1.0	1.0
3115	BP	GO:0070200	establishment of protein localization to telomere	2	1.0	1.0
3116	BP	GO:0032272	negative regulation of protein polymerization	21	1.0	1.0
3117	BP	GO:0060495	cell-cell signaling involved in lung development	1	1.0	1.0
3118	BP	GO:0071787	endoplasmic reticulum tubular network formation	4	1.0	1.0
3119	BP	GO:1905000	regulation of membrane repolarization during atrial cardiac muscle cell action potential	1	1.0	1.0
3120	BP	GO:0032481	positive regulation of type I interferon production	21	1.0	1.0
3121	BP	GO:0009264	deoxyribonucleotide catabolic process	14	1.0	1.0
3122	BP	GO:2000144	positive regulation of DNA-templated transcription, initiation	14	1.0	1.0
3123	BP	GO:1905775	negative regulation of DNA helicase activity	1	1.0	1.0
3124	BP	GO:0120252	hydrocarbon metabolic process	1	1.0	1.0
3125	BP	GO:0010872	regulation of cholesterol esterification	8	1.0	1.0
3126	BP	GO:0006959	humoral immune response	89	1.0	1.0
3127	BP	GO:0072677	eosinophil migration	9	1.0	1.0
3128	BP	GO:0019835	cytolysis	11	1.0	1.0
3129	BP	GO:0051014	actin filament severing	3	1.0	1.0
3130	BP	GO:1902033	regulation of hematopoietic stem cell proliferation	5	1.0	1.0
3131	BP	GO:1902075	cellular response to salt	3	1.0	1.0
3132	BP	GO:0046671	negative regulation of retinal cell programmed cell death	1	1.0	1.0
3133	BP	GO:0006641	triglyceride metabolic process	17	1.0	1.0
3134	BP	GO:0010040	response to iron(II) ion	3	1.0	1.0
3135	BP	GO:0032430	positive regulation of phospholipase A2 activity	1	1.0	1.0
3136	BP	GO:0046054	dGMP metabolic process	4	1.0	1.0
3137	BP	GO:0010958	regulation of amino acid import across plasma membrane	7	1.0	1.0
3138	BP	GO:1904527	negative regulation of microtubule binding	1	1.0	1.0
3139	BP	GO:0043542	endothelial cell migration	31	1.0	1.0
3140	BP	GO:0006754	ATP biosynthetic process	18	1.0	1.0
3141	BP	GO:0031048	heterochromatin assembly by small RNA	2	1.0	1.0
3142	BP	GO:0090166	Golgi disassembly	4	1.0	1.0
3143	BP	GO:0038027	apolipoprotein A-I-mediated signaling pathway	1	1.0	1.0
3144	BP	GO:0002437	inflammatory response to antigenic stimulus	15	1.0	1.0
3145	BP	GO:0051937	catecholamine transport	4	1.0	1.0
3146	BP	GO:0007171	activation of transmembrane receptor protein tyrosine kinase activity	6	1.0	1.0
3147	BP	GO:0032232	negative regulation of actin filament bundle assembly	12	1.0	1.0
3148	BP	GO:0070841	inclusion body assembly	4	1.0	1.0
3149	BP	GO:1904538	regulation of glycolytic process through fructose-6-phosphate	1	1.0	1.0
3150	BP	GO:0010464	regulation of mesenchymal cell proliferation	9	1.0	1.0
3151	BP	GO:0006893	Golgi to plasma membrane transport	30	1.0	1.0
3152	BP	GO:0071569	protein ufmylation	5	1.0	1.0
3153	BP	GO:1905386	positive regulation of protein localization to presynapse	1	1.0	1.0
3154	BP	GO:0018377	protein myristoylation	3	1.0	1.0
3155	BP	GO:0010171	body morphogenesis	2	1.0	1.0
3156	BP	GO:0036315	cellular response to sterol	7	1.0	1.0
3157	BP	GO:1990758	mitotic sister chromatid biorientation	1	1.0	1.0
3158	BP	GO:0033210	leptin-mediated signaling pathway	6	1.0	1.0
3159	BP	GO:0003084	positive regulation of systemic arterial blood pressure	6	1.0	1.0
3160	BP	GO:0071773	cellular response to BMP stimulus	13	1.0	1.0
3161	BP	GO:1905476	negative regulation of protein localization to membrane	20	1.0	1.0
3162	BP	GO:0007056	spindle assembly involved in female meiosis	2	1.0	1.0
3163	BP	GO:0060513	prostatic bud formation	2	1.0	1.0
3164	BP	GO:0032885	regulation of polysaccharide biosynthetic process	20	1.0	1.0
3165	BP	GO:0060591	chondroblast differentiation	2	1.0	1.0
3166	BP	GO:0061370	testosterone biosynthetic process	3	1.0	1.0
3167	BP	GO:0007387	anterior compartment pattern formation	1	1.0	1.0
3168	BP	GO:0072176	nephric duct development	3	1.0	1.0
3169	BP	GO:0032483	regulation of Rab protein signal transduction	1	1.0	1.0
3170	BP	GO:0097384	cellular lipid biosynthetic process	4	1.0	1.0
3171	BP	GO:0032790	ribosome disassembly	5	1.0	1.0
3172	BP	GO:0032243	negative regulation of nucleoside transport	1	1.0	1.0
3173	BP	GO:0071932	replication fork reversal	1	1.0	1.0
3174	BP	GO:0061668	mitochondrial ribosome assembly	1	1.0	1.0
3175	BP	GO:0035246	peptidyl-arginine N-methylation	5	1.0	1.0
3176	BP	GO:0048588	developmental cell growth	32	1.0	1.0
3177	BP	GO:1901894	regulation of ATPase-coupled calcium transmembrane transporter activity	6	1.0	1.0
3178	BP	GO:0051292	nuclear pore complex assembly	2	1.0	1.0
3179	BP	GO:0015711	organic anion transport	108	1.0	1.0
3180	BP	GO:0006751	glutathione catabolic process	2	1.0	1.0
3181	BP	GO:0002484	antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway	1	1.0	1.0
3182	BP	GO:0097400	interleukin-17-mediated signaling pathway	4	1.0	1.0
3183	BP	GO:1901401	regulation of tetrapyrrole metabolic process	1	1.0	1.0
3184	BP	GO:2000606	regulation of cell proliferation involved in mesonephros development	1	1.0	1.0
3185	BP	GO:1903224	regulation of endodermal cell differentiation	1	1.0	1.0
3186	BP	GO:0006547	histidine metabolic process	4	1.0	1.0
3187	BP	GO:0006021	inositol biosynthetic process	2	1.0	1.0
3188	BP	GO:0032119	sequestering of zinc ion	2	1.0	1.0
3189	BP	GO:0014033	neural crest cell differentiation	4	1.0	1.0
3190	BP	GO:1901662	quinone catabolic process	5	1.0	1.0
3191	BP	GO:0051152	positive regulation of smooth muscle cell differentiation	4	1.0	1.0
3192	BP	GO:0060753	regulation of mast cell chemotaxis	4	1.0	1.0
3193	BP	GO:0001519	peptide amidation	1	1.0	1.0
3194	BP	GO:0010952	positive regulation of peptidase activity	99	1.0	1.0
3195	BP	GO:0032070	regulation of deoxyribonuclease activity	6	1.0	1.0
3196	BP	GO:2000172	regulation of branching morphogenesis of a nerve	2	1.0	1.0
3197	BP	GO:1990845	adaptive thermogenesis	7	1.0	1.0
3198	BP	GO:2000275	regulation of oxidative phosphorylation uncoupler activity	1	1.0	1.0
3199	BP	GO:1905643	positive regulation of DNA methylation	3	1.0	1.0
3200	BP	GO:2000648	positive regulation of stem cell proliferation	10	1.0	1.0
3201	BP	GO:0001711	endodermal cell fate commitment	3	1.0	1.0
3202	BP	GO:0097009	energy homeostasis	13	1.0	1.0
3203	BP	GO:0061025	membrane fusion	69	1.0	1.0
3204	BP	GO:0046487	glyoxylate metabolic process	3	1.0	1.0
3205	BP	GO:0015804	neutral amino acid transport	19	1.0	1.0
3206	BP	GO:0030042	actin filament depolymerization	4	1.0	1.0
3207	BP	GO:0038063	collagen-activated tyrosine kinase receptor signaling pathway	6	1.0	1.0
3208	BP	GO:0099505	regulation of presynaptic membrane potential	2	1.0	1.0
3209	BP	GO:0032438	melanosome organization	13	1.0	1.0
3210	BP	GO:0071549	cellular response to dexamethasone stimulus	13	1.0	1.0
3211	BP	GO:0021750	vestibular nucleus development	1	1.0	1.0
3212	BP	GO:0046341	CDP-diacylglycerol metabolic process	8	1.0	1.0
3213	BP	GO:0009397	folic acid-containing compound catabolic process	1	1.0	1.0
3214	BP	GO:0046822	regulation of nucleocytoplasmic transport	54	1.0	1.0
3215	BP	GO:0006826	iron ion transport	21	1.0	1.0
3216	BP	GO:0035683	memory T cell extravasation	1	1.0	1.0
3217	BP	GO:0042273	ribosomal large subunit biogenesis	12	1.0	1.0
3218	BP	GO:2001212	regulation of vasculogenesis	9	1.0	1.0
3219	BP	GO:0097354	prenylation	5	1.0	1.0
3220	BP	GO:1904996	positive regulation of leukocyte adhesion to vascular endothelial cell	9	1.0	1.0
3221	BP	GO:0031938	regulation of chromatin silencing at telomere	1	1.0	1.0
3222	BP	GO:0090118	receptor-mediated endocytosis involved in cholesterol transport	3	1.0	1.0
3223	BP	GO:0021778	oligodendrocyte cell fate specification	3	1.0	1.0
3224	BP	GO:1901376	organic heteropentacyclic compound metabolic process	3	1.0	1.0
3225	BP	GO:0032092	positive regulation of protein binding	42	1.0	1.0
3226	BP	GO:0006363	termination of RNA polymerase I transcription	2	1.0	1.0
3227	BP	GO:0042596	fear response	13	1.0	1.0
3228	BP	GO:0045617	negative regulation of keratinocyte differentiation	4	1.0	1.0
3229	BP	GO:0072243	metanephric nephron epithelium development	2	1.0	1.0
3230	BP	GO:0048742	regulation of skeletal muscle fiber development	8	1.0	1.0
3231	BP	GO:1905515	non-motile cilium assembly	21	1.0	1.0
3232	BP	GO:0010901	regulation of very-low-density lipoprotein particle remodeling	6	1.0	1.0
3233	BP	GO:0097345	mitochondrial outer membrane permeabilization	6	1.0	1.0
3234	BP	GO:0032516	positive regulation of phosphoprotein phosphatase activity	11	1.0	1.0
3235	BP	GO:0052803	imidazole-containing compound metabolic process	1	1.0	1.0
3236	BP	GO:0031022	nuclear migration along microfilament	1	1.0	1.0
3237	BP	GO:0060052	neurofilament cytoskeleton organization	3	1.0	1.0
3238	BP	GO:0060038	cardiac muscle cell proliferation	6	1.0	1.0
3239	BP	GO:0006458	'de novo' protein folding	20	1.0	1.0
3240	BP	GO:1904692	positive regulation of type B pancreatic cell proliferation	1	1.0	1.0
3241	BP	GO:1990051	activation of protein kinase C activity	3	1.0	1.0
3242	BP	GO:0048259	regulation of receptor-mediated endocytosis	56	1.0	1.0
3243	BP	GO:0051489	regulation of filopodium assembly	20	1.0	1.0
3244	BP	GO:0043111	replication fork arrest	1	1.0	1.0
3245	BP	GO:0006570	tyrosine metabolic process	9	1.0	1.0
3246	BP	GO:1904674	positive regulation of somatic stem cell population maintenance	1	1.0	1.0
3247	BP	GO:0006904	vesicle docking involved in exocytosis	19	1.0	1.0
3248	BP	GO:1902661	positive regulation of glucose mediated signaling pathway	2	1.0	1.0
3249	BP	GO:0010965	regulation of mitotic sister chromatid separation	29	1.0	1.0
3250	BP	GO:0016266	O-glycan processing	9	1.0	1.0
3251	BP	GO:0006073	cellular glucan metabolic process	25	1.0	1.0
3252	BP	GO:0031324	negative regulation of cellular metabolic process	1207	1.0	1.0
3253	BP	GO:0002897	positive regulation of central B cell tolerance induction	1	1.0	1.0
3254	BP	GO:1903445	protein transport from ciliary membrane to plasma membrane	1	1.0	1.0
3255	BP	GO:0061113	pancreas morphogenesis	1	1.0	1.0
3256	BP	GO:0034644	cellular response to UV	41	1.0	1.0
3257	BP	GO:0036037	CD8-positive, alpha-beta T cell activation	3	1.0	1.0
3258	BP	GO:0034391	regulation of smooth muscle cell apoptotic process	9	1.0	1.0
3259	BP	GO:2000973	regulation of pro-B cell differentiation	2	1.0	1.0
3260	BP	GO:0035767	endothelial cell chemotaxis	5	1.0	1.0
3261	BP	GO:0039663	membrane fusion involved in viral entry into host cell	2	1.0	1.0
3262	BP	GO:0001992	regulation of systemic arterial blood pressure by vasopressin	2	1.0	1.0
3263	BP	GO:0002584	negative regulation of antigen processing and presentation of peptide antigen	1	1.0	1.0
3264	BP	GO:0072162	metanephric mesenchymal cell differentiation	1	1.0	1.0
3265	BP	GO:2000986	negative regulation of behavioral fear response	1	1.0	1.0
3266	BP	GO:0046825	regulation of protein export from nucleus	20	1.0	1.0
3267	BP	GO:0006011	UDP-glucose metabolic process	2	1.0	1.0
3268	BP	GO:0009308	amine metabolic process	41	1.0	1.0
3269	BP	GO:0033132	negative regulation of glucokinase activity	2	1.0	1.0
3270	BP	GO:0110009	formin-nucleated actin cable organization	2	1.0	1.0
3271	BP	GO:0034220	ion transmembrane transport	278	1.0	1.0
3272	BP	GO:0031050	dsRNA processing	5	1.0	1.0
3273	BP	GO:0072710	response to hydroxyurea	4	1.0	1.0
3274	BP	GO:0001776	leukocyte homeostasis	31	1.0	1.0
3275	BP	GO:0051790	short-chain fatty acid biosynthetic process	1	1.0	1.0
3276	BP	GO:0010507	negative regulation of autophagy	39	1.0	1.0
3277	BP	GO:0034242	negative regulation of syncytium formation by plasma membrane fusion	2	1.0	1.0
3278	BP	GO:0006656	phosphatidylcholine biosynthetic process	10	1.0	1.0
3279	BP	GO:0140131	positive regulation of lymphocyte chemotaxis	9	1.0	1.0
3280	BP	GO:0033572	transferrin transport	7	1.0	1.0
3281	BP	GO:0001704	formation of primary germ layer	22	1.0	1.0
3282	BP	GO:0035357	peroxisome proliferator activated receptor signaling pathway	4	1.0	1.0
3283	BP	GO:0010506	regulation of autophagy	151	1.0	1.0
3284	BP	GO:0042941	D-alanine transport	1	1.0	1.0
3285	BP	GO:0050911	detection of chemical stimulus involved in sensory perception of smell	21	1.0	1.0
3286	BP	GO:0099612	protein localization to axon	4	1.0	1.0
3287	BP	GO:0002029	desensitization of G protein-coupled receptor signaling pathway	1	1.0	1.0
3288	BP	GO:0036114	medium-chain fatty-acyl-CoA catabolic process	1	1.0	1.0
3289	BP	GO:1903061	positive regulation of protein lipidation	1	1.0	1.0
3290	BP	GO:0000912	assembly of actomyosin apparatus involved in cytokinesis	1	1.0	1.0
3291	BP	GO:0032847	regulation of cellular pH reduction	3	1.0	1.0
3292	BP	GO:0034381	plasma lipoprotein particle clearance	13	1.0	1.0
3293	BP	GO:0075733	intracellular transport of virus	7	1.0	1.0
3294	BP	GO:0035116	embryonic hindlimb morphogenesis	10	1.0	1.0
3295	BP	GO:0002803	positive regulation of antibacterial peptide production	1	1.0	1.0
3296	BP	GO:0036071	N-glycan fucosylation	1	1.0	1.0
3297	BP	GO:0071786	endoplasmic reticulum tubular network organization	11	1.0	1.0
3298	BP	GO:0061820	telomeric D-loop disassembly	3	1.0	1.0
3299	BP	GO:1902202	regulation of hepatocyte growth factor receptor signaling pathway	3	1.0	1.0
3300	BP	GO:0050927	positive regulation of positive chemotaxis	10	1.0	1.0
3301	BP	GO:0032755	positive regulation of interleukin-6 production	39	1.0	1.0
3302	BP	GO:0007029	endoplasmic reticulum organization	24	1.0	1.0
3303	BP	GO:0046887	positive regulation of hormone secretion	54	1.0	1.0
3304	BP	GO:0001956	positive regulation of neurotransmitter secretion	8	1.0	1.0
3305	BP	GO:0033183	negative regulation of histone ubiquitination	2	1.0	1.0
3306	BP	GO:1902527	positive regulation of protein monoubiquitination	5	1.0	1.0
3307	BP	GO:1903564	regulation of protein localization to cilium	2	1.0	1.0
3308	BP	GO:0016188	synaptic vesicle maturation	7	1.0	1.0
3309	BP	GO:0033030	negative regulation of neutrophil apoptotic process	2	1.0	1.0
3310	BP	GO:0060510	type II pneumocyte differentiation	2	1.0	1.0
3311	BP	GO:0098916	anterograde trans-synaptic signaling	93	1.0	1.0
3312	BP	GO:0045646	regulation of erythrocyte differentiation	23	1.0	1.0
3313	BP	GO:1901919	positive regulation of exoribonuclease activity	1	1.0	1.0
3314	BP	GO:0060101	negative regulation of phagocytosis, engulfment	1	1.0	1.0
3315	BP	GO:2000119	negative regulation of sodium-dependent phosphate transport	1	1.0	1.0
3316	BP	GO:0021559	trigeminal nerve development	5	1.0	1.0
3317	BP	GO:0048818	positive regulation of hair follicle maturation	1	1.0	1.0
3318	BP	GO:0070601	centromeric sister chromatid cohesion	4	1.0	1.0
3319	BP	GO:1905564	positive regulation of vascular endothelial cell proliferation	5	1.0	1.0
3320	BP	GO:0075044	positive regulation by symbiont of host autophagy	1	1.0	1.0
3321	BP	GO:0001558	regulation of cell growth	190	1.0	1.0
3322	BP	GO:0072502	cellular trivalent inorganic anion homeostasis	4	1.0	1.0
3323	BP	GO:1904950	negative regulation of establishment of protein localization	61	1.0	1.0
3324	BP	GO:1904062	regulation of cation transmembrane transport	157	1.0	1.0
3325	BP	GO:0060070	canonical Wnt signaling pathway	23	1.0	1.0
3326	BP	GO:0060602	branch elongation of an epithelium	6	1.0	1.0
3327	BP	GO:0019218	regulation of steroid metabolic process	42	1.0	1.0
3328	BP	GO:0060412	ventricular septum morphogenesis	13	1.0	1.0
3329	BP	GO:0035166	post-embryonic hemopoiesis	2	1.0	1.0
3330	BP	GO:0090100	positive regulation of transmembrane receptor protein serine/threonine kinase signaling pathway	26	1.0	1.0
3331	BP	GO:0055006	cardiac cell development	17	1.0	1.0
3332	BP	GO:0032960	regulation of inositol trisphosphate biosynthetic process	1	1.0	1.0
3333	BP	GO:1990708	conditioned place preference	2	1.0	1.0
3334	BP	GO:0050892	intestinal absorption	10	1.0	1.0
3335	BP	GO:0072526	pyridine-containing compound catabolic process	2	1.0	1.0
3336	BP	GO:0033133	positive regulation of glucokinase activity	3	1.0	1.0
3337	BP	GO:0032400	melanosome localization	16	1.0	1.0
3338	BP	GO:0042117	monocyte activation	3	1.0	1.0
3339	BP	GO:0008215	spermine metabolic process	2	1.0	1.0
3340	BP	GO:0060857	establishment of glial blood-brain barrier	1	1.0	1.0
3341	BP	GO:0060502	epithelial cell proliferation involved in lung morphogenesis	1	1.0	1.0
3342	BP	GO:0043052	thermotaxis	2	1.0	1.0
3343	BP	GO:0071461	cellular response to redox state	1	1.0	1.0
3344	BP	GO:0032730	positive regulation of interleukin-1 alpha production	5	1.0	1.0
3345	BP	GO:1905371	ceramide phosphoethanolamine metabolic process	1	1.0	1.0
3346	BP	GO:0090233	negative regulation of spindle checkpoint	2	1.0	1.0
3347	BP	GO:0060074	synapse maturation	5	1.0	1.0
3348	BP	GO:0098629	trans-Golgi network membrane organization	1	1.0	1.0
3349	BP	GO:0007500	mesodermal cell fate determination	2	1.0	1.0
3350	BP	GO:0007176	regulation of epidermal growth factor-activated receptor activity	19	1.0	1.0
3351	BP	GO:0048278	vesicle docking	39	1.0	1.0
3352	BP	GO:0021932	hindbrain radial glia guided cell migration	4	1.0	1.0
3353	BP	GO:0000425	pexophagy	1	1.0	1.0
3354	BP	GO:0034104	negative regulation of tissue remodeling	12	1.0	1.0
3355	BP	GO:0071634	regulation of transforming growth factor beta production	14	1.0	1.0
3356	BP	GO:0044057	regulation of system process	235	1.0	1.0
3357	BP	GO:0021888	hypothalamus gonadotrophin-releasing hormone neuron development	2	1.0	1.0
3358	BP	GO:0050909	sensory perception of taste	6	1.0	1.0
3359	BP	GO:0010877	lipid transport involved in lipid storage	1	1.0	1.0
3360	BP	GO:0033563	dorsal/ventral axon guidance	1	1.0	1.0
3361	BP	GO:2000618	regulation of histone H4-K16 acetylation	3	1.0	1.0
3362	BP	GO:0014742	positive regulation of muscle hypertrophy	14	1.0	1.0
3363	BP	GO:0007186	G protein-coupled receptor signaling pathway	257	1.0	1.0
3364	BP	GO:0051103	DNA ligation involved in DNA repair	3	1.0	1.0
3365	BP	GO:0009642	response to light intensity	3	1.0	1.0
3366	BP	GO:0042493	response to drug	145	1.0	1.0
3367	BP	GO:0035359	negative regulation of peroxisome proliferator activated receptor signaling pathway	1	1.0	1.0
3368	BP	GO:0001828	inner cell mass cellular morphogenesis	1	1.0	1.0
3369	BP	GO:0021502	neural fold elevation formation	2	1.0	1.0
3370	BP	GO:0046688	response to copper ion	17	1.0	1.0
3371	BP	GO:0008611	ether lipid biosynthetic process	4	1.0	1.0
3372	BP	GO:0016338	calcium-independent cell-cell adhesion via plasma membrane cell-adhesion molecules	18	1.0	1.0
3373	BP	GO:0098535	de novo centriole assembly involved in multi-ciliated epithelial cell differentiation	4	1.0	1.0
3374	BP	GO:0072714	response to selenite ion	1	1.0	1.0
3375	BP	GO:0048025	negative regulation of mRNA splicing, via spliceosome	16	1.0	1.0
3376	BP	GO:0060586	multicellular organismal iron ion homeostasis	2	1.0	1.0
3377	BP	GO:0060581	cell fate commitment involved in pattern specification	2	1.0	1.0
3378	BP	GO:1905344	prostaglandin catabolic process	2	1.0	1.0
3379	BP	GO:0060485	mesenchyme development	21	1.0	1.0
3380	BP	GO:0019433	triglyceride catabolic process	5	1.0	1.0
3381	BP	GO:0046339	diacylglycerol metabolic process	5	1.0	1.0
3382	BP	GO:0061903	positive regulation of 1-phosphatidylinositol-3-kinase activity	1	1.0	1.0
3383	BP	GO:1904970	brush border assembly	2	1.0	1.0
3384	BP	GO:0009416	response to light stimulus	130	1.0	1.0
3385	BP	GO:0060338	regulation of type I interferon-mediated signaling pathway	16	1.0	1.0
3386	BP	GO:0045827	negative regulation of isoprenoid metabolic process	1	1.0	1.0
3387	BP	GO:0046314	phosphocreatine biosynthetic process	5	1.0	1.0
3388	BP	GO:0042989	sequestering of actin monomers	3	1.0	1.0
3389	BP	GO:0021846	cell proliferation in forebrain	3	1.0	1.0
3390	BP	GO:0071468	cellular response to acidic pH	4	1.0	1.0
3391	BP	GO:0072219	metanephric cortical collecting duct development	1	1.0	1.0
3392	BP	GO:0034433	steroid esterification	1	1.0	1.0
3393	BP	GO:1901842	negative regulation of high voltage-gated calcium channel activity	3	1.0	1.0
3394	BP	GO:0043984	histone H4-K16 acetylation	4	1.0	1.0
3395	BP	GO:0033383	geranyl diphosphate metabolic process	2	1.0	1.0
3396	BP	GO:0051386	regulation of neurotrophin TRK receptor signaling pathway	7	1.0	1.0
3397	BP	GO:0009256	10-formyltetrahydrofolate metabolic process	2	1.0	1.0
3398	BP	GO:1903409	reactive oxygen species biosynthetic process	5	1.0	1.0
3399	BP	GO:0002702	positive regulation of production of molecular mediator of immune response	42	1.0	1.0
3400	BP	GO:0072334	UDP-galactose transmembrane transport	3	1.0	1.0
3401	BP	GO:0007088	regulation of mitotic nuclear division	47	1.0	1.0
3402	BP	GO:0061029	eyelid development in camera-type eye	5	1.0	1.0
3403	BP	GO:0072574	hepatocyte proliferation	1	1.0	1.0
3404	BP	GO:1900242	regulation of synaptic vesicle endocytosis	9	1.0	1.0
3405	BP	GO:0051349	positive regulation of lyase activity	13	1.0	1.0
3406	BP	GO:0008211	glucocorticoid metabolic process	4	1.0	1.0
3407	BP	GO:0051931	regulation of sensory perception	20	1.0	1.0
3408	BP	GO:0042756	drinking behavior	1	1.0	1.0
3409	BP	GO:0032693	negative regulation of interleukin-10 production	8	1.0	1.0
3410	BP	GO:0099625	ventricular cardiac muscle cell membrane repolarization	5	1.0	1.0
3411	BP	GO:0060827	regulation of canonical Wnt signaling pathway involved in neural plate anterior/posterior pattern formation	1	1.0	1.0
3412	BP	GO:0080154	regulation of fertilization	4	1.0	1.0
3413	BP	GO:0045625	regulation of T-helper 1 cell differentiation	4	1.0	1.0
3414	BP	GO:0045898	regulation of RNA polymerase II transcription preinitiation complex assembly	9	1.0	1.0
3415	BP	GO:0031585	regulation of inositol 1,4,5-trisphosphate-sensitive calcium-release channel activity	3	1.0	1.0
3416	BP	GO:0006498	N-terminal protein lipidation	4	1.0	1.0
3417	BP	GO:0045321	leukocyte activation	195	1.0	1.0
3418	BP	GO:1902960	negative regulation of aspartic-type endopeptidase activity involved in amyloid precursor protein catabolic process	1	1.0	1.0
3419	BP	GO:0045724	positive regulation of cilium assembly	10	1.0	1.0
3420	BP	GO:0002934	desmosome organization	5	1.0	1.0
3421	BP	GO:0071676	negative regulation of mononuclear cell migration	16	1.0	1.0
3422	BP	GO:0051795	positive regulation of timing of catagen	1	1.0	1.0
3423	BP	GO:0032899	regulation of neurotrophin production	1	1.0	1.0
3424	BP	GO:0039020	pronephric nephron tubule development	1	1.0	1.0
3425	BP	GO:0036465	synaptic vesicle recycling	2	1.0	1.0
3426	BP	GO:2000467	positive regulation of glycogen (starch) synthase activity	3	1.0	1.0
3427	BP	GO:0050993	dimethylallyl diphosphate metabolic process	2	1.0	1.0
3428	BP	GO:0010867	positive regulation of triglyceride biosynthetic process	5	1.0	1.0
3429	BP	GO:0038168	epidermal growth factor receptor signaling pathway via I-kappaB kinase/NF-kappaB cascade	1	1.0	1.0
3430	BP	GO:0060231	mesenchymal to epithelial transition	9	1.0	1.0
3431	BP	GO:0006203	dGTP catabolic process	1	1.0	1.0
3432	BP	GO:1901907	diadenosine pentaphosphate catabolic process	1	1.0	1.0
