MT-TF	ENSG00000210049
NELFE	ENSG00000206357
CALB2	ENSG00000282830
TAPBP	ENSG00000112493
NFKBIL1	ENSG00000235125
RANP1	ENSG00000137321
TNXA	ENSG00000234328
SKIV2L	ENSG00000228896
RNU6-545P	ENSG00000206783
RNU6-318P	ENSG00000207477
MANSC1	ENSG00000281818
MGAT4C	ENSG00000283530
PAIP1P1	ENSG00000234574
NRM	ENSG00000234809
NELFE	ENSG00000231044
LINC02136	ENSG00000287711
RPL23AP66	ENSG00000281051
LOH12CR2	ENSG00000281234
BORCS5	ENSG00000280689
DUSP16	ENSG00000280962
TRIM26BP	ENSG00000235923
HLA-F	ENSG00000206509
TAPBP	ENSG00000206208
UBQLN1P1	ENSG00000230441
TCF19	ENSG00000234674
FRG1-DT	ENSG00000283668
HTATSF1P1	ENSG00000234251
LINC01623	ENSG00000229773
HCP5	ENSG00000230389
FRG1	ENSG00000283153
BAG6	ENSG00000233348
Y_RNA	ENSG00000283595
OR2H2	ENSG00000229185
LINC02570	ENSG00000224862
RNU6-409P	ENSG00000283264
TRIM26	ENSG00000137313
C4B-AS1	ENSG00000223661
MAS1LP1	ENSG00000224444
C6orf15	ENSG00000229432
LSM2	ENSG00000225998
ACR	ENSG00000283539
RPL23AP1	ENSG00000241880
OR12D1	ENSG00000249030
MCCD1	ENSG00000226923
ATAD1	ENSG00000283024
PTMAP1	ENSG00000225453
MAP4K1	ENSG00000282928
SAPCD1	ENSG00000229176
RPL32P1	ENSG00000228579
GPANK1	ENSG00000236011
MLLT10P2	ENSG00000283508
RPL23AP82	ENSG00000283658
GPSM3	ENSG00000234243
CFL1P1	ENSG00000282866
TUBB7P	ENSG00000283593
RNA5SP174	ENSG00000283700
RN7SL78P	ENSG00000283092
RNA5SP175	ENSG00000283581
DUX4L9	ENSG00000283181
KLLN	ENSG00000283059
FRG2	ENSG00000285063
PTEN	ENSG00000284792
RARRES2P4	ENSG00000283449
DUX4L8	ENSG00000283363
RPL11P3	ENSG00000283120
MED6P1	ENSG00000283067
CSNK2B	ENSG00000224398
RPS18	ENSG00000096150
DUX4	ENSG00000283949
RPL23AP84	ENSG00000283660
RPL7AP7	ENSG00000233462
APOM	ENSG00000224290
OR2J2	ENSG00000234746
VARS1	ENSG00000227686
RGL2	ENSG00000224841
DCHS2	ENSG00000284227
DDX39B-AS1	ENSG00000238071
ZFP57	ENSG00000206510
VAV3-AS1	ENSG00000284539
LINC02785	ENSG00000284338
MSH5	ENSG00000235569
SLC25A24	ENSG00000284468
MAP4K1-AS1	ENSG00000282982
EIF3K	ENSG00000282986
DAXX	ENSG00000206206
SLC44A4	ENSG00000229077
PRSS21	ENSG00000282838
ST13P21	ENSG00000284110
EIF1P4	ENSG00000282845
ZG16B	ENSG00000283056
ABCF1	ENSG00000236342
SMURF1	ENSG00000284126
HLA-DPA2	ENSG00000223894
PAIP1P1	ENSG00000225109
RPS17P1	ENSG00000223769
PRSS30P	ENSG00000283070
DDR1	ENSG00000230456
HLA-E	ENSG00000233904
PRSS22	ENSG00000282937
ACTN4	ENSG00000282844
RPS18	ENSG00000235650
OR2W1	ENSG00000206525
PSMB8	ENSG00000206298
KPNA7	ENSG00000284068
HLA-F	ENSG00000137403
HLA-DQB2	ENSG00000228254
CTIF	ENSG00000282825
HCG21	ENSG00000230541
LY6G5B	ENSG00000241132
MAS1L	ENSG00000206515
AGPAT1	ENSG00000206324
TRIM15	ENSG00000235905
OR4C12	ENSG00000284255
OR4C48P	ENSG00000284278
OR4C49P	ENSG00000284123
HLA-DQA1	ENSG00000228284
DDR1	ENSG00000137332
LGALS7B	ENSG00000282902
MIR4743	ENSG00000282900
LGALS7	ENSG00000283082
RNU6-140P	ENSG00000283011
LGALS4	ENSG00000282992
PRKAR2B	ENSG00000284096
RPL13P	ENSG00000231746
ZDHHC20P2	ENSG00000227405
TSBP1	ENSG00000232106
HLA-DPA3	ENSG00000223696
DXO	ENSG00000236765
POLR2LP1	ENSG00000233504
MUC21	ENSG00000227506
HBP1	ENSG00000283847
C6orf47	ENSG00000226531
HLA-DRA	ENSG00000230726
HNRNPA1P2	ENSG00000235171
PFDN6	ENSG00000206283
ECH1	ENSG00000282853
OLA1P1	ENSG00000283032
CYP2D8P	ENSG00000282884
OR2I1P	ENSG00000237725
AGPAT1	ENSG00000235758
LY6G6D	ENSG00000234443
TCF20	ENSG00000283026
OR2J1	ENSG00000226192
CLIC1	ENSG00000226248
MICC	ENSG00000231785
PPP1R11	ENSG00000237829
DHX16	ENSG00000206486
LDAF1	ENSG00000283997
LY6G6F	ENSG00000241822
AGPAT1	ENSG00000228892
HNRNPL	ENSG00000282947
COG5	ENSG00000284369
ZP2	ENSG00000284588
PSMB8-AS1	ENSG00000206296
HLA-Z	ENSG00000237871
HLA-DRB1	ENSG00000236884
PPP1R2P1	ENSG00000227435
C6orf47	ENSG00000228435
HTATSF1P1	ENSG00000224052
LY6G6F	ENSG00000243003
COL11A2	ENSG00000206290
COL11A2	ENSG00000230930
ZDHHC20P2	ENSG00000232659
VPS52	ENSG00000225590
CLIC1	ENSG00000226417
OLA1P1	ENSG00000282919
CYP2D6	ENSG00000282966
ANKS4B	ENSG00000284290
RINL	ENSG00000282895
GPR22	ENSG00000283812
NPIPB5	ENSG00000284218
NEU1	ENSG00000234846
DUS4L	ENSG00000284103
POLR3E	ENSG00000284282
EEF2K	ENSG00000284161
MOSMO	ENSG00000284487
SIRT2	ENSG00000283100
PDZD9	ENSG00000284316
DHX16	ENSG00000231377
NPIPB13	ENSG00000283855
METTL9	ENSG00000284548
STK19B	ENSG00000248989
DDX39B-AS1	ENSG00000228245
IGSF6	ENSG00000283934
CYP2D7	ENSG00000283008
LY6G5C	ENSG00000111971
NPIPB3	ENSG00000284454
HLA-DRB9	ENSG00000226035
C6orf136	ENSG00000237012
HSD17B8	ENSG00000112474
BCAP29	ENSG00000283852
MDC1	ENSG00000231135
TRIM27	ENSG00000237071
HLA-DPB1	ENSG00000215048
VWA7	ENSG00000230048
TRIM10	ENSG00000229381
HCG17	ENSG00000240833
OR12D3	ENSG00000250364
DXO	ENSG00000234798
LST1	ENSG00000223465
CYP2D8P	ENSG00000282926
LY6G6D	ENSG00000236902
OR14J1	ENSG00000225291
TCF20	ENSG00000282892
HLA-DQB2	ENSG00000224305
C4A-AS1	ENSG00000225540
TRIM31	ENSG00000223531
SKIV2L	ENSG00000225737
LY6G6F-LY6G6D	ENSG00000258880
RPS17P1	ENSG00000229439
ZDHHC20P2	ENSG00000231773
HLA-DMA	ENSG00000242685
PPIAP9	ENSG00000235596
MICE	ENSG00000249123
Metazoa_SRP	ENSG00000266191
U6	ENSG00000266870
U6	ENSG00000266626
Y_RNA	ENSG00000263610
U6	ENSG00000266784
Metazoa_SRP	ENSG00000263912
HLA-DPB1	ENSG00000230763
Y_RNA	ENSG00000265509
SNORA38	ENSG00000263994
Y_RNA	ENSG00000266716
Y_RNA	ENSG00000264778
U6	ENSG00000263638
U1	ENSG00000265838
Y_RNA	ENSG00000266250
SNORD117	ENSG00000263358
U6	ENSG00000265048
SNORD84	ENSG00000263442
U1	ENSG00000266860
U1	ENSG00000265248
U1	ENSG00000264960
U1	ENSG00000264704
MDC1-AS1	ENSG00000227899
ZNRD1ASP	ENSG00000235814
LINC02829	ENSG00000232356
OR11A1	ENSG00000234347
C17orf97	ENSG00000283985
ATF6B	ENSG00000168468
NFKBIB	ENSG00000282905
PRAMEF28P	ENSG00000283185
PRAMEF27	ENSG00000283425
OR2J2	ENSG00000231676
POLR1H	ENSG00000206502
STK19	ENSG00000234947
HNRNPCL3	ENSG00000283292
RFLNB	ENSG00000283979
PRAMEF25	ENSG00000283348
ZBTB22	ENSG00000237056
VPS53	ENSG00000283883
MICC	ENSG00000230887
PRAMEF34P	ENSG00000283661
HLA-G	ENSG00000237216
PRAMEF35P	ENSG00000283410
CCER2	ENSG00000283099
HNRNPCL2	ENSG00000283370
PRAMEF36P	ENSG00000283543
SARS2	ENSG00000283104
PRAMEF26	ENSG00000283216
HNRNPCL4	ENSG00000283231
PRAMEF9	ENSG00000283139
PRAMEF31P	ENSG00000283565
PRAMEF5	ENSG00000283150
PAIP1P1	ENSG00000228199
PTMAP1	ENSG00000235757
SLC39A7	ENSG00000226614
PRAMEF32P	ENSG00000283650
RNU6-771P	ENSG00000202250
GPSM3	ENSG00000206314
PRAMEF8	ENSG00000283387
HLA-DQB1-AS1	ENSG00000237455
HLA-DQB1	ENSG00000233209
PRAMEF33	ENSG00000283488
PAIP1P1	ENSG00000228227
HLA-V	ENSG00000206444
HNRNPA1P2	ENSG00000231275
CFB	ENSG00000239754
HLA-L	ENSG00000244721
MCCD1P1	ENSG00000232649
LYPLA2P1	ENSG00000232376
TRIM26	ENSG00000231641
OR2P1P	ENSG00000235195
CYP21A2	ENSG00000206338
LLGL1	ENSG00000284137
PSMB8	ENSG00000230034
MRPS12	ENSG00000283018
ZBTB22	ENSG00000227780
SLC44A4	ENSG00000228263
APOM	ENSG00000226215
ERVK9-11	ENSG00000282930
FBXO17	ENSG00000282954
HLA-C	ENSG00000206452
POU5F1	ENSG00000235068
HLA-DRB9	ENSG00000227526
AIF1	ENSG00000237727
FLII	ENSG00000284571
RANP1	ENSG00000227652
TSBP1-AS1	ENSG00000226228
OR2J4P	ENSG00000228483
MUC21	ENSG00000237962
MUCL3	ENSG00000232251
HLA-DPB1	ENSG00000237710
UBQLN1P1	ENSG00000232095
HLA-DMA	ENSG00000243719
SLC44A4	ENSG00000231479
PSMB9	ENSG00000240118
RPL3P2	ENSG00000228461
RPS4XP17	ENSG00000284153
OR2H1	ENSG00000235132
POLR1H	ENSG00000236949
HLA-V	ENSG00000230238
RN7SKP178	ENSG00000283135
PPIAP68	ENSG00000283134
C6orf47	ENSG00000235360
LY6G5B	ENSG00000241713
INO80D	ENSG00000283510
HLA-DPA2	ENSG00000223990
TRIM31	ENSG00000226402
Vault	ENSG00000283129
Y_RNA	ENSG00000283687
RPL27P8	ENSG00000283641
ADAMTS2	ENSG00000283802
SAR1AP1	ENSG00000226795
TNK1	ENSG00000283781
GNL1	ENSG00000206492
NDUFS1	ENSG00000283447
NCR3	ENSG00000237103
C2	ENSG00000235017
HLA-DRA	ENSG00000228987
PLSCR3	ENSG00000284009
IER3	ENSG00000206478
U4	ENSG00000283939
OR2B3	ENSG00000206524
HLA-F-AS1	ENSG00000206508
HLA-C	ENSG00000228299
RUFY1	ENSG00000284260
HLA-W	ENSG00000228029
BTNL2	ENSG00000229597
MICD	ENSG00000232345
ABCF1	ENSG00000206490
MIEF2	ENSG00000284495
LILRP1	ENSG00000284211
LILRP2	ENSG00000284141
KIR3DL3	ENSG00000283823
DDX39B	ENSG00000229496
TMEM256-PLSCR3	ENSG00000284483
RING1	ENSG00000226788
NFKBIL1	ENSG00000234530
TMEM256	ENSG00000283771
TOP3A	ENSG00000284238
KIR2DL3	ENSG00000283996
NLGN2	ENSG00000283859
KIR2DP1	ENSG00000284088
KIR2DL1	ENSG00000284530
PRDX2P3	ENSG00000284556
RUFY1-AS1	ENSG00000283808
HNRNPH1	ENSG00000284254
Metazoa_SRP	ENSG00000284069
SPEM1	ENSG00000284598
CBY3	ENSG00000283718
TMPOP1	ENSG00000223933
HCG24	ENSG00000237196
SPEM2	ENSG00000283714
B3GALT4	ENSG00000226936
OR2J4P	ENSG00000226610
USP8P1	ENSG00000233486
CDSN	ENSG00000137197
CANX	ENSG00000283777
DDR1-DT	ENSG00000224360
SPEM3	ENSG00000284090
PRRC2A	ENSG00000225164
HCG24	ENSG00000238100
ATP6V1G2	ENSG00000206445
TMEM102	ENSG00000284228
FGF11	ENSG00000283903
C4A-AS1	ENSG00000230075
DDX39BP1	ENSG00000236441
HLA-K	ENSG00000224526
HSPA1B	ENSG00000212866
KIR3DP1	ENSG00000283974
GTF2H4	ENSG00000221974
KIR2DL4	ENSG00000284509
CHRNB1	ENSG00000283946
GCSHP3	ENSG00000283168
EEF1B2	ENSG00000283391
RPL7AP65	ENSG00000284212
RPL21P121	ENSG00000283753
SMCR8	ENSG00000283741
SHMT1	ENSG00000284320
MIR6778	ENSG00000284492
EVPLL	ENSG00000284166
HLA-DQB1	ENSG00000206302
NCR3	ENSG00000225211
snoZ196	ENSG00000283323
OR10C1	ENSG00000224234
SNORD51	ENSG00000283671
SNORA41	ENSG00000283482
ZBTB4	ENSG00000283868
CMKLR2	ENSG00000283448
DAXX	ENSG00000227046
SLC35G6	ENSG00000284515
HCG25	ENSG00000233772
TBC1D3P4	ENSG00000284576
PPP1R2P1	ENSG00000226914
POLR2A	ENSG00000284832
LY6G6F	ENSG00000243804
HLA-J	ENSG00000234074
RPL23AP1	ENSG00000239784
LINC02076	ENSG00000284456
KRT17P5	ENSG00000284350
HLA-DQB2	ENSG00000196610
GPR1-AS	ENSG00000283643
APOM	ENSG00000227567
LTA	ENSG00000226275
RN7SKP200	ENSG00000283395
HMGN1P6	ENSG00000283357
RN7SKP260	ENSG00000281402
ZDBF2	ENSG00000283649
YWHAEP2	ENSG00000283850
KRT17P2	ENSG00000284257
DDX39B	ENSG00000215425
HLA-DRB9	ENSG00000228260
C4B-AS1	ENSG00000233692
HLA-F-AS1	ENSG00000230017
TRIM31-AS1	ENSG00000225038
MDC1-AS1	ENSG00000233883
COL11A2P1	ENSG00000234249
HCG22	ENSG00000225629
KRT16P1	ENSG00000284527
ACER2P1	ENSG00000283169
PFDN6	ENSG00000224782
HNRNPA1P51	ENSG00000283305
LINC01982	ENSG00000283825
OR10C1	ENSG00000204689
HMGB3P22	ENSG00000284207
MAML1	ENSG00000283780
PSMB8	ENSG00000226201
KIR3DL1	ENSG00000284177
OR2J1	ENSG00000234804
TSBP1-AS1	ENSG00000225834
TUBB	ENSG00000227739
LTC4S	ENSG00000283887
KRT16P4	ENSG00000284285
TNPO1P2	ENSG00000283924
Metazoa_SRP	ENSG00000263491
LGALS9C	ENSG00000284021
SNORD32B	ENSG00000265926
Y_RNA	ENSG00000264218
7SK	ENSG00000265255
Y_RNA	ENSG00000263950
Metazoa_SRP	ENSG00000264417
Y_RNA	ENSG00000263833
U6	ENSG00000263467
SNORD117	ENSG00000266419
SNORD84	ENSG00000264591
Y_RNA	ENSG00000266841
SNORA38	ENSG00000266004
Y_RNA	ENSG00000266113
U6	ENSG00000263896
Y_RNA	ENSG00000264353
SNORD48	ENSG00000264086
WDR46	ENSG00000204221
SNORD52	ENSG00000265707
U6	ENSG00000265351
Y_RNA	ENSG00000266410
CCHCR1	ENSG00000224180
5S_rRNA	ENSG00000266615
U1	ENSG00000265983
MGAT4B	ENSG00000284501
FRG1-DT	ENSG00000283244
TRIM31-AS1	ENSG00000238027
PPP1R18	ENSG00000231247
FRG1	ENSG00000283630
KIR2DS4	ENSG00000284408
KIR3DL2	ENSG00000284063
HSD17B8	ENSG00000228712
MLLT10P2	ENSG00000283397
C4B	ENSG00000228267
TUBB7P	ENSG00000283655
RNA5SP174	ENSG00000283308
RNA5SP175	ENSG00000283282
DUX4L9	ENSG00000283184
FRG2	ENSG00000285202
RARRES2P4	ENSG00000283250
DUX4L8	ENSG00000283570
PHF1	ENSG00000239756
DUX4L2	ENSG00000283834
NOS2P2	ENSG00000284312
HCG9	ENSG00000206504
SLC44A4	ENSG00000206378
LILRP1	ENSG00000283715
LILRP2	ENSG00000283942
NEU1	ENSG00000227129
KIR3DL3	ENSG00000284104
MIR1229	ENSG00000283912
SQSTM1	ENSG00000284099
MRNIP	ENSG00000283918
MICE	ENSG00000251197
CDYLP1	ENSG00000284109
OR2H2	ENSG00000206512
PLCL2	ENSG00000284017
HLA-DQA2	ENSG00000225103
KIR2DL3	ENSG00000284504
PSMB8-AS1	ENSG00000234365
RPL35AP4	ENSG00000227168
KIR2DL1	ENSG00000283723
LINC02829	ENSG00000232902
HLA-DRB1	ENSG00000206306
HCG9	ENSG00000234599
DDR1-DT	ENSG00000227422
MIR3714	ENSG00000283960
PLCL2-AS1	ENSG00000284477
HLA-C	ENSG00000225691
LILRP1	ENSG00000283837
KIR3DP1	ENSG00000284105
LILRP2	ENSG00000283800
KIR2DL4	ENSG00000283961
KIR3DL3	ENSG00000284086
LINC02569	ENSG00000223827
LINC01149	ENSG00000234858
LINC02570	ENSG00000231522
LYPLA2P1	ENSG00000232639
ABHD16A	ENSG00000235676
LILRP1	ENSG00000283746
LILRP2	ENSG00000283794
KIR2DL3	ENSG00000283702
RNF5	ENSG00000183574
KIR2DP1	ENSG00000283832
RNU6-222P	ENSG00000284451
FCAR	ENSG00000283953
RN7SKP150	ENSG00000284026
Y_RNA	ENSG00000284437
HLA-U	ENSG00000229428
TBC1D9B	ENSG00000284400
RNA5SP266	ENSG00000284058
VPS52	ENSG00000206286
LINC01606	ENSG00000284367
KIR2DL5B	ENSG00000284089
KIR2DS3	ENSG00000284039
KIR2DP1	ENSG00000283860
KIR3DP1	ENSG00000284417
RNF5	ENSG00000228405
KIR2DL4	ENSG00000284457
HLA-N	ENSG00000227334
HLA-DPB2	ENSG00000225132
PSMB8	ENSG00000235715
KIR3DL1	ENSG00000283954
SLC39A7	ENSG00000224399
HLA-DRA	ENSG00000227993
KIR3DS1	ENSG00000283719
RING1	ENSG00000231115
RPL15P4	ENSG00000230211
COL11A2	ENSG00000227801
KIFC1	ENSG00000056678
TAP2	ENSG00000237599
MCCD1P1	ENSG00000229411
SUMO2P1	ENSG00000234528
MUCL3	ENSG00000229284
KIR2DS4	ENSG00000284307
BRD2	ENSG00000215077
KIR3DL2	ENSG00000284384
KIR2DS1	ENSG00000284150
U6	ENSG00000263598
SNORD32B	ENSG00000265013
Y_RNA	ENSG00000264646
Y_RNA	ENSG00000266523
7SK	ENSG00000265633
Y_RNA	ENSG00000264847
U6	ENSG00000263474
Y_RNA	ENSG00000265738
SNORA38	ENSG00000265754
Y_RNA	ENSG00000263679
SNORD117	ENSG00000263625
SNORD84	ENSG00000266755
U6	ENSG00000264557
Y_RNA	ENSG00000264887
5S_rRNA	ENSG00000266726
U6	ENSG00000264951
U1	ENSG00000263971
U1	ENSG00000264893
Y_RNA	ENSG00000266464
LILRP1	ENSG00000283747
LILRP2	ENSG00000284051
KIR3DL3	ENSG00000283875
LILRP1	ENSG00000284302
LILRP2	ENSG00000283983
RPL31P12	ENSG00000284996
LST1	ENSG00000226182
KIR2DL3	ENSG00000284132
KIR2DP1	ENSG00000284497
KIR2DL4	ENSG00000284013
KIR2DL1	ENSG00000284514
SFTA2	ENSG00000206465
MUC21	ENSG00000206463
LY6G5C	ENSG00000206404
KIR3DP1	ENSG00000283919
KIR2DL4	ENSG00000284365
PLEKHM3	ENSG00000285005
LILRP1	ENSG00000284470
LILRP2	ENSG00000283732
LILRP1	ENSG00000284590
LILRP2	ENSG00000284405
KIR2DL3	ENSG00000284044
MICA	ENSG00000183214
KIR3DL3	ENSG00000283915
KIR2DP1	ENSG00000284478
RNU6-222P	ENSG00000284022
RNU6-360P	ENSG00000284897
RPL9P14	ENSG00000285055
FCAR	ENSG00000284004
RNA5SP116	ENSG00000285342
RPL12P17	ENSG00000285271
CRYGEP	ENSG00000285058
CRYGD	ENSG00000285434
CRYGC	ENSG00000285011
COL11A2P1	ENSG00000230816
KIR2DL3	ENSG00000283708
DDX39B-AS1	ENSG00000232256
PPIAP9	ENSG00000225317
SFTA2	ENSG00000224246
DAXX	ENSG00000206279
KIR2DP1	ENSG00000284248
KIR2DL1	ENSG00000284145
BTNL2	ENSG00000224770
WASF5P	ENSG00000231433
ATP6V1G2	ENSG00000227587
MSH5-SAPCD1	ENSG00000254405
LINC00971	ENSG00000284871
KIR3DP1	ENSG00000284102
KIR2DL4	ENSG00000283869
KIR3DL1	ENSG00000284342
KIR3DL1	ENSG00000284426
LINC02025	ENSG00000284804
PPP1R18	ENSG00000206485
LILRP1	ENSG00000284581
LILRP2	ENSG00000284097
PRR3	ENSG00000206491
KIR2DP1	ENSG00000284249
KIR2DL1	ENSG00000284100
PBX2	ENSG00000237344
C6orf136	ENSG00000206487
HCG20	ENSG00000224641
KIR2DS4	ENSG00000283727
NRM	ENSG00000235773
KIR3DL2	ENSG00000284295
PSORS1C2	ENSG00000206459
KIR3DP1	ENSG00000284119
SUCLA2P1	ENSG00000223693
KIR2DS4	ENSG00000284244
LY6G5B	ENSG00000239285
KIR2DL4	ENSG00000283986
KIR3DL2	ENSG00000284381
RPL7P4	ENSG00000238255
LINC01015	ENSG00000226687
TAP1	ENSG00000206297
ZNF70P1	ENSG00000230949
PSMB9	ENSG00000243067
KIR3DL1	ENSG00000283731
CLIC1	ENSG00000206394
KIR3DL1	ENSG00000283729
MDC1-AS1	ENSG00000236766
HTATSF1P1	ENSG00000237536
C6orf47-AS1	ENSG00000235516
HLA-DRB1	ENSG00000206240
ZYX	ENSG00000285443
KIR2DS4	ENSG00000283779
KIR3DL2	ENSG00000283975
NOTCH4	ENSG00000206312
KIR2DS4	ENSG00000283870
MIR6892	ENSG00000285487
KIR2DS5	ENSG00000284217
EPHA1	ENSG00000284816
KIR3DL2	ENSG00000284213
HLA-J	ENSG00000228220
CSNK2B	ENSG00000228875
KIR2DS1	ENSG00000284560
GCNT2	ENSG00000285222
ZNF70P1	ENSG00000231030
RING1	ENSG00000206287
KIR3DL2	ENSG00000284528
HCG20	ENSG00000224133
EPHA1-AS1	ENSG00000285468
TAS2R62P	ENSG00000285054
MPIG6B	ENSG00000206396
TAS2R60	ENSG00000285341
RNU6-222P	ENSG00000284545
TAS2R41	ENSG00000284982
OR2R1P	ENSG00000285299
FCAR	ENSG00000284245
OR10AC1	ENSG00000285252
PAICSP5	ENSG00000285495
CTAGE15	ENSG00000285172
RNU6-267P	ENSG00000284766
CTAGE6	ENSG00000285123
LILRP1	ENSG00000283806
LILRP2	ENSG00000284374
KIR3DL3	ENSG00000283966
TCAF2P1	ENSG00000285351
OR2F2	ENSG00000284965
GCNT2P1	ENSG00000284885
RNU6-222P	ENSG00000284303
OR2F1	ENSG00000284866
C6orf52	ENSG00000285312
FCAR	ENSG00000284061
CAPZA1P5	ENSG00000285391
OR2Q1P	ENSG00000284945
SLC16A1P1	ENSG00000285242
OR6B1	ENSG00000284939
KIR2DL3	ENSG00000283790
UQCRHP1	ENSG00000229189
HLA-DPA3	ENSG00000224929
GPR53P	ENSG00000224894
KIR2DP1	ENSG00000284533
NRM	ENSG00000206484
Y_RNA	ENSG00000284941
HLA-DPA3	ENSG00000227936
PAK1IP1	ENSG00000285226
GPX5	ENSG00000257770
GPX6	ENSG00000281185
U6	ENSG00000263937
DNAJC8	ENSG00000285317
Y_RNA	ENSG00000263876
Metazoa_SRP	ENSG00000263728
SNORD32B	ENSG00000266672
TMEM14C	ENSG00000284936
Metazoa_SRP	ENSG00000263419
7SK	ENSG00000265903
U6	ENSG00000264185
Y_RNA	ENSG00000266119
Y_RNA	ENSG00000264692
U6	ENSG00000265921
Y_RNA	ENSG00000266759
Y_RNA	ENSG00000266178
U6	ENSG00000265409
SNORD117	ENSG00000263359
SNORD84	ENSG00000265607
RNU1-116P	ENSG00000264259
U1	ENSG00000264909
SNORA38	ENSG00000263879
Y_RNA	ENSG00000264846
5S_rRNA	ENSG00000265816
Y_RNA	ENSG00000266781
RNU1-79P	ENSG00000265223
SNORD48	ENSG00000264202
SNORD52	ENSG00000263362
U6	ENSG00000263869
Y_RNA	ENSG00000264955
ATP5IF1	ENSG00000285390
TNF	ENSG00000206439
MGAT4C	ENSG00000285137
SESN2	ENSG00000285069
MICG	ENSG00000224355
UBQLN1P1	ENSG00000236122
LTB	ENSG00000206437
MED18	ENSG00000284944
KIR2DS3	ENSG00000288487
EHMT2	ENSG00000206376
KIR3DP1	ENSG00000283968
SLC6A14P3	ENSG00000284963
OFD1P3Y	ENSG00000285380
ZFP1	ENSG00000285178
KIR3DS1	ENSG00000283889
CTRB2	ENSG00000284810
CTRB1	ENSG00000285346
KIR2DS5	ENSG00000288206
BCAR1	ENSG00000285460
KIR2DS1	ENSG00000284120
LILRP1	ENSG00000283964
LILRP2	ENSG00000284339
OR2A5	ENSG00000284896
KIR3DL3	ENSG00000284127
OR2A25	ENSG00000285496
OR2A12	ENSG00000284949
OR2A2	ENSG00000285071
OR2A14	ENSG00000284891
CTAGE4	ENSG00000288370
ARHGEF35	ENSG00000288422
OR2A42	ENSG00000284836
OR2A7	ENSG00000284749
CTAGE8	ENSG00000288181
OR2A1	ENSG00000285105
KIR2DL3	ENSG00000284241
KIR2DP1	ENSG00000284313
ARHGEF5	ENSG00000284933
KIR3DP1	ENSG00000284007
NOBOX	ENSG00000285328
KIR2DL4	ENSG00000284340
WDR82P1	ENSG00000285086
LINC00879	ENSG00000285436
RXRB	ENSG00000206289
KIR3DL1	ENSG00000284093
RNU6-1004P	ENSG00000285481
MICB	ENSG00000206449
MTRF1LP2	ENSG00000285363
GSDMC	ENSG00000285114
CCHCR1	ENSG00000206457
KIR2DS4	ENSG00000283882
LILRP1	ENSG00000284409
LILRP2	ENSG00000284030
KIR3DL2	ENSG00000284192
KIR2DL3	ENSG00000284510
KIR2DL1	ENSG00000284401
OOSP1	ENSG00000285029
OOSP4A	ENSG00000285375
OOSP4B	ENSG00000285463
OOSP2	ENSG00000285422
KIR3DP1	ENSG00000283713
KIR2DL4	ENSG00000284562
RNU6-222P	ENSG00000284279
TCERG1P2	ENSG00000285145
XYLT1	ENSG00000285395
MCPH1	ENSG00000285262
HLA-DRA	ENSG00000206308
KIR3DS1	ENSG00000284111
HLA-G	ENSG00000206506
KIR2DS5	ENSG00000288357
MCPH1-AS1	ENSG00000285400
KIR2DS1	ENSG00000283937
MIR8055	ENSG00000284905
AGPAT5	ENSG00000284980
NDUFS3	ENSG00000285387
KIR3DL2	ENSG00000284466
MIR4659A	ENSG00000284880
MIR4659B	ENSG00000285083
XKR5	ENSG00000285327
GS1-24F4.2	ENSG00000285156
DEFB1	ENSG00000284881
DEFA6	ENSG00000285136
DEFA4	ENSG00000285318
WDR46	ENSG00000206284
SLC14A2-AS1	ENSG00000285384
DEFA8P	ENSG00000284863
DEFA9P	ENSG00000284789
DEFA10P	ENSG00000285475
DEFA1	ENSG00000284983
DEFA1B	ENSG00000285176
DEFA3	ENSG00000284835
RNU6-222P	ENSG00000284524
FCAR	ENSG00000283750
PTPMT1	ENSG00000285206
DEFA11P	ENSG00000285439
DEFA7P	ENSG00000285113
DEFA5	ENSG00000285251
RPS3AP30	ENSG00000285129
KBTBD4	ENSG00000284900
SNRPCP6	ENSG00000284771
SNRPCP17	ENSG00000285418
RPS3AP33	ENSG00000285381
PSORS1C1	ENSG00000206458
OR7E154P	ENSG00000285474
FAM90A7P	ENSG00000285832
PRR23D1	ENSG00000284870
MYL12BP3	ENSG00000230193
HCG4P8	ENSG00000225023
TSBP1	ENSG00000206310
DEFB107B	ENSG00000284979
DEFB105B	ENSG00000285015
RNU5E-10P	ENSG00000285092
FAM180B	ENSG00000284938
DEFB106A	ENSG00000285617
DEFB104A	ENSG00000285034
C1QTNF4	ENSG00000284838
SPAG11A	ENSG00000285507
DEFB103A	ENSG00000285376
MTCH2	ENSG00000285121
HSPD1P3	ENSG00000285504
DEFB4B	ENSG00000285433
ZNF705B	ENSG00000285120
USP17L4	ENSG00000284781
USP17L3	ENSG00000284806
DEFB109B	ENSG00000284851
FAM90A20P	ENSG00000284799
FAM90A3P	ENSG00000285074
FAM90A23P	ENSG00000285795
ENPP7P12	ENSG00000285452
PSORS1C3	ENSG00000224744
KIFC1	ENSG00000204197
DEFB109A	ENSG00000284926
ZNF705D	ENSG00000285124
DEFB108E	ENSG00000284778
RNA5SP254	ENSG00000284894
DEFB130A	ENSG00000285249
DEFB131C	ENSG00000284782
DEFB131E	ENSG00000285431
OR7E55P	ENSG00000288306
