GO root	GO id	GO name	value	pval
BP	GO:0050996	positive regulation of lipid catabolic process	8	0.0639573779050236
BP	GO:0008347	glial cell migration	8	0.0639573779050236
BP	GO:2000482	regulation of interleukin-8 secretion	8	0.0639573779050236
BP	GO:0016064	immunoglobulin mediated immune response	8	0.0639573779050236
BP	GO:0002076	osteoblast development	8	0.0639573779050236
BP	GO:0061512	protein localization to cilium	8	0.0639573779050236
BP	GO:0021515	cell differentiation in spinal cord	8	0.0639573779050236
BP	GO:0045821	positive regulation of glycolytic process	8	0.0639573779050236
BP	GO:1905459	regulation of vascular associated smooth muscle cell apoptotic process	8	0.0639573779050236
BP	GO:0090330	regulation of platelet aggregation	8	0.0639573779050236
BP	GO:0061213	positive regulation of mesonephros development	8	0.0639573779050236
BP	GO:2000726	negative regulation of cardiac muscle cell differentiation	8	0.0639573779050236
BP	GO:0030813	positive regulation of nucleotide catabolic process	8	0.0639573779050236
BP	GO:0045785	positive regulation of cell adhesion	188	0.06447564955848557
BP	GO:0048145	regulation of fibroblast proliferation	51	0.06470432976850045
BP	GO:0048589	developmental growth	114	0.064762707353017
BP	GO:0051783	regulation of nuclear division	114	0.064762707353017
BP	GO:0050769	positive regulation of neurogenesis	189	0.06550584902047674
BP	GO:0040007	growth	115	0.06614226035873395
BP	GO:0006066	alcohol metabolic process	52	0.06696003981193745
BP	GO:0051046	regulation of secretion	273	0.06713694750346913
BP	GO:0010976	positive regulation of neuron projection development	116	0.06753567767392916
BP	GO:0030154	cell differentiation	540	0.06827985529794442
BP	GO:0071417	cellular response to organonitrogen compound	192	0.06864985332591741
BP	GO:0051704	multi-organism process	554	0.06906832559003095
BP	GO:1901216	positive regulation of neuron death	53	0.06924228762037299
BP	GO:0062013	positive regulation of small molecule metabolic process	53	0.06924228762037299
BP	GO:0042102	positive regulation of T cell proliferation	53	0.06924228762037299
BP	GO:1900182	positive regulation of protein localization to nucleus	53	0.06924228762037299
BP	GO:0045598	regulation of fat cell differentiation	53	0.06924228762037299
BP	GO:0006887	exocytosis	193	0.0697156055481237
BP	GO:1901800	positive regulation of proteasomal protein catabolic process	54	0.07155052545960482
BP	GO:0050855	regulation of B cell receptor signaling pathway	9	0.0716703197482413
BP	GO:0061050	regulation of cell growth involved in cardiac muscle cell development	9	0.0716703197482413
BP	GO:1900103	positive regulation of endoplasmic reticulum unfolded protein response	9	0.0716703197482413
BP	GO:0014904	myotube cell development	9	0.0716703197482413
BP	GO:2000052	positive regulation of non-canonical Wnt signaling pathway	9	0.0716703197482413
BP	GO:0090201	negative regulation of release of cytochrome c from mitochondria	9	0.0716703197482413
BP	GO:0048643	positive regulation of skeletal muscle tissue development	9	0.0716703197482413
BP	GO:0007252	I-kappaB phosphorylation	9	0.0716703197482413
BP	GO:1905606	regulation of presynapse assembly	9	0.0716703197482413
BP	GO:0042157	lipoprotein metabolic process	9	0.0716703197482413
BP	GO:0007212	dopamine receptor signaling pathway	9	0.0716703197482413
BP	GO:0010719	negative regulation of epithelial to mesenchymal transition	9	0.0716703197482413
BP	GO:0036315	cellular response to sterol	9	0.0716703197482413
BP	GO:1904385	cellular response to angiotensin	9	0.0716703197482413
BP	GO:1902914	regulation of protein polyubiquitination	9	0.0716703197482413
BP	GO:0099174	regulation of presynapse organization	9	0.0716703197482413
BP	GO:0061217	regulation of mesonephros development	9	0.0716703197482413
BP	GO:2000737	negative regulation of stem cell differentiation	9	0.0716703197482413
BP	GO:2000345	regulation of hepatocyte proliferation	9	0.0716703197482413
BP	GO:0046628	positive regulation of insulin receptor signaling pathway	9	0.0716703197482413
BP	GO:0032069	regulation of nuclease activity	9	0.0716703197482413
BP	GO:1902532	negative regulation of intracellular signal transduction	195	0.07187363633192559
BP	GO:0051249	regulation of lymphocyte activation	198	0.07517672442389609
BP	GO:0051962	positive regulation of nervous system development	198	0.07517672442389609
BP	GO:0050793	regulation of developmental process	847	0.07612355648401599
BP	GO:0120032	regulation of plasma membrane bounded cell projection assembly	56	0.07624281304670225
BP	GO:0003006	developmental process involved in reproduction	199	0.07629528696584968
BP	GO:0061024	membrane organization	201	0.0785585864760007
BP	GO:0097191	extrinsic apoptotic signaling pathway	57	0.07862579988103074
BP	GO:0060491	regulation of cell projection assembly	57	0.07862579988103074
BP	GO:0019724	B cell mediated immunity	10	0.07932222941148812
BP	GO:0036499	PERK-mediated unfolded protein response	10	0.07932222941148812
BP	GO:0010560	positive regulation of glycoprotein biosynthetic process	10	0.07932222941148812
BP	GO:0032930	positive regulation of superoxide anion generation	10	0.07932222941148812
BP	GO:0048806	genitalia development	10	0.07932222941148812
BP	GO:0008631	intrinsic apoptotic signaling pathway in response to oxidative stress	10	0.07932222941148812
BP	GO:0046365	monosaccharide catabolic process	10	0.07932222941148812
BP	GO:0009953	dorsal/ventral pattern formation	10	0.07932222941148812
BP	GO:0050860	negative regulation of T cell receptor signaling pathway	10	0.07932222941148812
BP	GO:0034620	cellular response to unfolded protein	10	0.07932222941148812
BP	GO:0048670	regulation of collateral sprouting	10	0.07932222941148812
BP	GO:0045724	positive regulation of cilium assembly	10	0.07932222941148812
BP	GO:0072089	stem cell proliferation	10	0.07932222941148812
BP	GO:0010544	negative regulation of platelet activation	10	0.07932222941148812
BP	GO:0007190	activation of adenylate cyclase activity	10	0.07932222941148812
BP	GO:1900078	positive regulation of cellular response to insulin stimulus	10	0.07932222941148812
BP	GO:0051194	positive regulation of cofactor metabolic process	10	0.07932222941148812
BP	GO:1902667	regulation of axon guidance	10	0.07932222941148812
BP	GO:0034110	regulation of homotypic cell-cell adhesion	10	0.07932222941148812
BP	GO:0019320	hexose catabolic process	10	0.07932222941148812
BP	GO:0045595	regulation of cell differentiation	634	0.07972638437061784
BP	GO:0031345	negative regulation of cell projection organization	58	0.08103265079819212
BP	GO:0031398	positive regulation of protein ubiquitination	58	0.08103265079819212
BP	GO:0032092	positive regulation of protein binding	59	0.08346285024040649
BP	GO:0051224	negative regulation of protein transport	59	0.08346285024040649
BP	GO:0048609	multicellular organismal reproductive process	127	0.08375479733492103
BP	GO:1904951	positive regulation of establishment of protein localization	206	0.08436845760844609
BP	GO:0007167	enzyme linked receptor protein signaling pathway	292	0.08466650982102857
BP	GO:0050767	regulation of neurogenesis	293	0.08565336492294877
BP	GO:0031099	regeneration	60	0.08591588890029792
BP	GO:0051240	positive regulation of multicellular organismal process	653	0.08664324394445222
BP	GO:0022409	positive regulation of cell-cell adhesion	129	0.08687407153851827
BP	GO:0060561	apoptotic process involved in morphogenesis	11	0.08691356986746024
BP	GO:0000185	activation of MAPKKK activity	11	0.08691356986746024
BP	GO:0033137	negative regulation of peptidyl-serine phosphorylation	11	0.08691356986746024
BP	GO:0006349	regulation of gene expression by genetic imprinting	11	0.08691356986746024
BP	GO:0046627	negative regulation of insulin receptor signaling pathway	11	0.08691356986746024
BP	GO:1903020	positive regulation of glycoprotein metabolic process	11	0.08691356986746024
BP	GO:1903729	regulation of plasma membrane organization	11	0.08691356986746024
BP	GO:0071514	genetic imprinting	11	0.08691356986746024
BP	GO:0062009	secondary palate development	11	0.08691356986746024
BP	GO:0034123	positive regulation of toll-like receptor signaling pathway	11	0.08691356986746024
BP	GO:0002092	positive regulation of receptor internalization	11	0.08691356986746024
BP	GO:1903793	positive regulation of anion transport	11	0.08691356986746024
BP	GO:1900077	negative regulation of cellular response to insulin stimulus	11	0.08691356986746024
BP	GO:0033688	regulation of osteoblast proliferation	11	0.08691356986746024
BP	GO:0046827	positive regulation of protein export from nucleus	11	0.08691356986746024
BP	GO:0045663	positive regulation of myoblast differentiation	11	0.08691356986746024
BP	GO:0030517	negative regulation of axon extension	11	0.08691356986746024
BP	GO:0032928	regulation of superoxide anion generation	11	0.08691356986746024
BP	GO:0050858	negative regulation of antigen receptor-mediated signaling pathway	11	0.08691356986746024
BP	GO:0032814	regulation of natural killer cell activation	11	0.08691356986746024
BP	GO:1904950	negative regulation of establishment of protein localization	61	0.08839126365479573
BP	GO:0033138	positive regulation of peptidyl-serine phosphorylation	61	0.08839126365479573
BP	GO:0097190	apoptotic signaling pathway	130	0.08845272793482489
BP	GO:1901699	cellular response to nitrogen compound	210	0.08917067726618545
BP	GO:0014066	regulation of phosphatidylinositol 3-kinase signaling	62	0.09088847750944481
BP	GO:0048754	branching morphogenesis of an epithelial tube	62	0.09088847750944481
BP	GO:0006996	organelle organization	691	0.09313816673865058
BP	GO:0050773	regulation of dendrite development	63	0.09340703953417041
BP	GO:0098727	maintenance of cell number	63	0.09340703953417041
BP	GO:0005977	glycogen metabolic process	12	0.09444480073342935
BP	GO:0033160	positive regulation of protein import into nucleus, translocation	12	0.09444480073342935
BP	GO:0014896	muscle hypertrophy	12	0.09444480073342935
BP	GO:0035967	cellular response to topologically incorrect protein	12	0.09444480073342935
BP	GO:1902742	apoptotic process involved in development	12	0.09444480073342935
BP	GO:0032515	negative regulation of phosphoprotein phosphatase activity	12	0.09444480073342935
BP	GO:0045445	myoblast differentiation	12	0.09444480073342935
BP	GO:0005976	polysaccharide metabolic process	12	0.09444480073342935
BP	GO:0061311	cell surface receptor signaling pathway involved in heart development	12	0.09444480073342935
BP	GO:0010800	positive regulation of peptidyl-threonine phosphorylation	12	0.09444480073342935
BP	GO:0032801	receptor catabolic process	12	0.09444480073342935
BP	GO:0030837	negative regulation of actin filament polymerization	12	0.09444480073342935
BP	GO:0006073	cellular glucan metabolic process	12	0.09444480073342935
BP	GO:0044042	glucan metabolic process	12	0.09444480073342935
BP	GO:2001171	positive regulation of ATP biosynthetic process	12	0.09444480073342935
BP	GO:0035914	skeletal muscle cell differentiation	12	0.09444480073342935
BP	GO:0030879	mammary gland development	12	0.09444480073342935
BP	GO:0044264	cellular polysaccharide metabolic process	12	0.09444480073342935
BP	GO:0099177	regulation of trans-synaptic signaling	134	0.09489192769979848
BP	GO:0050804	modulation of chemical synaptic transmission	134	0.09489192769979848
BP	GO:0010557	positive regulation of macromolecule biosynthetic process	735	0.09610906984774084
BP	GO:0010638	positive regulation of organelle organization	304	0.09692778951937414
BP	GO:0001101	response to acid chemical	136	0.09818491258065369
BP	GO:0030182	neuron differentiation	65	0.09850627434596884
BP	GO:0051960	regulation of nervous system development	306	0.09905958843714618
BP	GO:0010559	regulation of glycoprotein biosynthetic process	13	0.10191637828481098
BP	GO:0044257	cellular protein catabolic process	13	0.10191637828481098
BP	GO:0060612	adipose tissue development	13	0.10191637828481098
BP	GO:0014912	negative regulation of smooth muscle cell migration	13	0.10191637828481098
BP	GO:1990776	response to angiotensin	13	0.10191637828481098
BP	GO:0046329	negative regulation of JNK cascade	13	0.10191637828481098
BP	GO:0048147	negative regulation of fibroblast proliferation	13	0.10191637828481098
BP	GO:0070723	response to cholesterol	13	0.10191637828481098
BP	GO:0010677	negative regulation of cellular carbohydrate metabolic process	13	0.10191637828481098
BP	GO:0015031	protein transport	327	0.10220582775426779
BP	GO:0015833	peptide transport	331	0.10244942504528305
BP	GO:0042886	amide transport	334	0.10273121965301793
BP	GO:1903322	positive regulation of protein modification by small protein conjugation or removal	67	0.10368515971738117
BP	GO:0006897	endocytosis	140	0.10491368241084524
BP	GO:0010468	regulation of gene expression	1315	0.10548025396640844
BP	GO:0050770	regulation of axonogenesis	68	0.10630330680535337
BP	GO:0051251	positive regulation of lymphocyte activation	141	0.10662503449886283
BP	GO:0006974	cellular response to DNA damage stimulus	355	0.10701689720587773
BP	GO:0044419	interspecies interaction between organisms	355	0.10701689720587773
BP	GO:0002694	regulation of leukocyte activation	224	0.10703107981881692
BP	GO:0009894	regulation of catabolic process	359	0.10827947314285874
BP	GO:0022408	negative regulation of cell-cell adhesion	69	0.10893998056529411
BP	GO:1903531	negative regulation of secretion by cell	69	0.10893998056529411
BP	GO:0050850	positive regulation of calcium-mediated signaling	14	0.10932875548600411
BP	GO:0035308	negative regulation of protein dephosphorylation	14	0.10932875548600411
BP	GO:1902017	regulation of cilium assembly	14	0.10932875548600411
BP	GO:0061351	neural precursor cell proliferation	14	0.10932875548600411
BP	GO:2001222	regulation of neuron migration	14	0.10932875548600411
BP	GO:0009100	glycoprotein metabolic process	14	0.10932875548600411
BP	GO:0032495	response to muramyl dipeptide	14	0.10932875548600411
BP	GO:1905332	positive regulation of morphogenesis of an epithelium	14	0.10932875548600411
BP	GO:0014065	phosphatidylinositol 3-kinase signaling	14	0.10932875548600411
BP	GO:1900101	regulation of endoplasmic reticulum unfolded protein response	14	0.10932875548600411
BP	GO:0051171	regulation of nitrogen compound metabolic process	1699	0.11022013697832223
BP	GO:0006898	receptor-mediated endocytosis	70	0.1115947308846637
BP	GO:0051101	regulation of DNA binding	70	0.1115947308846637
BP	GO:0061138	morphogenesis of a branching epithelium	70	0.1115947308846637
BP	GO:0080134	regulation of response to stress	554	0.11169822775705049
BP	GO:0071310	cellular response to organic substance	556	0.11224643036179563
BP	GO:0001701	in utero embryonic development	71	0.11426711325781931
BP	GO:1901214	regulation of neuron death	146	0.11535159796326203
BP	GO:0010605	negative regulation of macromolecule metabolic process	868	0.11651155625063357
BP	GO:0048646	anatomical structure formation involved in morphogenesis	231	0.11655516055245246
BP	GO:1900047	negative regulation of hemostasis	15	0.11668238200977703
BP	GO:0090322	regulation of superoxide metabolic process	15	0.11668238200977703
BP	GO:1903018	regulation of glycoprotein metabolic process	15	0.11668238200977703
BP	GO:0090596	sensory organ morphogenesis	15	0.11668238200977703
BP	GO:1900373	positive regulation of purine nucleotide biosynthetic process	15	0.11668238200977703
BP	GO:0042246	tissue regeneration	15	0.11668238200977703
BP	GO:0001707	mesoderm formation	15	0.11668238200977703
BP	GO:0050922	negative regulation of chemotaxis	15	0.11668238200977703
BP	GO:0061448	connective tissue development	15	0.11668238200977703
BP	GO:0030810	positive regulation of nucleotide biosynthetic process	15	0.11668238200977703
BP	GO:0055026	negative regulation of cardiac muscle tissue development	15	0.11668238200977703
BP	GO:0030195	negative regulation of blood coagulation	15	0.11668238200977703
BP	GO:0016052	carbohydrate catabolic process	15	0.11668238200977703
BP	GO:0035924	cellular response to vascular endothelial growth factor stimulus	15	0.11668238200977703
BP	GO:0003151	outflow tract morphogenesis	15	0.11668238200977703
BP	GO:0042733	embryonic digit morphogenesis	15	0.11668238200977703
BP	GO:0045912	negative regulation of carbohydrate metabolic process	15	0.11668238200977703
BP	GO:0048592	eye morphogenesis	15	0.11668238200977703
BP	GO:0040018	positive regulation of multicellular organism growth	15	0.11668238200977703
BP	GO:0051489	regulation of filopodium assembly	15	0.11668238200977703
BP	GO:0046578	regulation of Ras protein signal transduction	72	0.11695668872481928
BP	GO:0001763	morphogenesis of a branching structure	72	0.11695668872481928
BP	GO:1903037	regulation of leukocyte cell-cell adhesion	147	0.11713013873772732
BP	GO:0098657	import into cell	148	0.1189195090057873
BP	GO:0032879	regulation of localization	880	0.11912810628056039
BP	GO:0045665	negative regulation of neuron differentiation	73	0.11966302381688891
BP	GO:0007623	circadian rhythm	73	0.11966302381688891
BP	GO:0097193	intrinsic apoptotic signaling pathway	73	0.11966302381688891
BP	GO:0000187	activation of MAPK activity	73	0.11966302381688891
BP	GO:0043009	chordate embryonic development	73	0.11966302381688891
BP	GO:0051048	negative regulation of secretion	74	0.12238569050280541
BP	GO:0070371	ERK1 and ERK2 cascade	16	0.12397770425984586
BP	GO:0050819	negative regulation of coagulation	16	0.12397770425984586
BP	GO:0090184	positive regulation of kidney development	16	0.12397770425984586
BP	GO:0030857	negative regulation of epithelial cell differentiation	16	0.12397770425984586
BP	GO:0033158	regulation of protein import into nucleus, translocation	16	0.12397770425984586
BP	GO:1903580	positive regulation of ATP metabolic process	16	0.12397770425984586
BP	GO:0001704	formation of primary germ layer	16	0.12397770425984586
BP	GO:0007224	smoothened signaling pathway	16	0.12397770425984586
BP	GO:0051220	cytoplasmic sequestering of protein	16	0.12397770425984586
BP	GO:0035307	positive regulation of protein dephosphorylation	16	0.12397770425984586
BP	GO:2000300	regulation of synaptic vesicle exocytosis	16	0.12397770425984586
BP	GO:0061178	regulation of insulin secretion involved in cellular response to glucose stimulus	16	0.12397770425984586
BP	GO:0046326	positive regulation of glucose import	16	0.12397770425984586
BP	GO:0001892	embryonic placenta development	16	0.12397770425984586
BP	GO:0010799	regulation of peptidyl-threonine phosphorylation	16	0.12397770425984586
BP	GO:0036314	response to sterol	16	0.12397770425984586
BP	GO:0042472	inner ear morphogenesis	16	0.12397770425984586
BP	GO:0016572	histone phosphorylation	16	0.12397770425984586
BP	GO:0050678	regulation of epithelial cell proliferation	151	0.12435152881406689
BP	GO:1903827	regulation of cellular protein localization	237	0.12502080199609655
BP	GO:0050821	protein stabilization	75	0.12512426613556232
BP	GO:2000058	regulation of ubiquitin-dependent protein catabolic process	76	0.1278783333970756
BP	GO:0006468	protein phosphorylation	401	0.12958175956914939
BP	GO:0009887	animal organ morphogenesis	154	0.1298771527777979
BP	GO:0048660	regulation of smooth muscle cell proliferation	77	0.13064748024400083
BP	GO:0009792	embryo development ending in birth or egg hatching	77	0.13064748024400083
BP	GO:0050866	negative regulation of cell activation	77	0.13064748024400083
BP	GO:0090092	regulation of transmembrane receptor protein serine/threonine kinase signaling pathway	77	0.13064748024400083
BP	GO:1901984	negative regulation of protein acetylation	17	0.13121516539451028
BP	GO:0070059	intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress	17	0.13121516539451028
BP	GO:0010613	positive regulation of cardiac muscle hypertrophy	17	0.13121516539451028
BP	GO:0043124	negative regulation of I-kappaB kinase/NF-kappaB signaling	17	0.13121516539451028
BP	GO:0030900	forebrain development	17	0.13121516539451028
BP	GO:0030947	regulation of vascular endothelial growth factor receptor signaling pathway	17	0.13121516539451028
BP	GO:0010543	regulation of platelet activation	17	0.13121516539451028
BP	GO:0001947	heart looping	17	0.13121516539451028
BP	GO:0032272	negative regulation of protein polymerization	17	0.13121516539451028
BP	GO:0014742	positive regulation of muscle hypertrophy	17	0.13121516539451028
BP	GO:0090398	cellular senescence	17	0.13121516539451028
BP	GO:0032370	positive regulation of lipid transport	17	0.13121516539451028
BP	GO:0009892	negative regulation of metabolic process	917	0.13139204746282612
BP	GO:0044267	cellular protein metabolic process	992	0.1315869688683578
BP	GO:0050863	regulation of T cell activation	155	0.1317393229356715
BP	GO:1901615	organic hydroxy compound metabolic process	79	0.13622939059170774
BP	GO:0009790	embryo development	79	0.13622939059170774
BP	GO:0018105	peptidyl-serine phosphorylation	79	0.13622939059170774
BP	GO:0032940	secretion by cell	245	0.13672607163481787
BP	GO:0009880	embryonic pattern specification	18	0.1383952053494367
BP	GO:0051443	positive regulation of ubiquitin-protein transferase activity	18	0.1383952053494367
BP	GO:0060079	excitatory postsynaptic potential	18	0.1383952053494367
BP	GO:0032873	negative regulation of stress-activated MAPK cascade	18	0.1383952053494367
BP	GO:0010923	negative regulation of phosphatase activity	18	0.1383952053494367
BP	GO:0014911	positive regulation of smooth muscle cell migration	18	0.1383952053494367
BP	GO:0070303	negative regulation of stress-activated protein kinase signaling cascade	18	0.1383952053494367
BP	GO:1905898	positive regulation of response to endoplasmic reticulum stress	18	0.1383952053494367
BP	GO:0046850	regulation of bone remodeling	18	0.1383952053494367
BP	GO:0007257	activation of JUN kinase activity	18	0.1383952053494367
BP	GO:0070527	platelet aggregation	18	0.1383952053494367
BP	GO:0032715	negative regulation of interleukin-6 production	18	0.1383952053494367
BP	GO:2000179	positive regulation of neural precursor cell proliferation	18	0.1383952053494367
BP	GO:0022604	regulation of cell morphogenesis	159	0.1392865703868525
BP	GO:0007267	cell-cell signaling	159	0.1392865703868525
BP	GO:0002696	positive regulation of leukocyte activation	160	0.14119747527287702
BP	GO:0010821	regulation of mitochondrion organization	81	0.14186680436682692
BP	GO:0048534	hematopoietic or lymphoid organ development	82	0.14470534950230018
BP	GO:0018209	peptidyl-serine modification	82	0.14470534950230018
BP	GO:0007275	multicellular organism development	162	0.14504742547663974
BP	GO:0060548	negative regulation of cell death	422	0.14534490482116857
BP	GO:0060071	Wnt signaling pathway, planar cell polarity pathway	19	0.14551826086140374
BP	GO:1902803	regulation of synaptic vesicle transport	19	0.14551826086140374
BP	GO:0009791	post-embryonic development	19	0.14551826086140374
BP	GO:0051154	negative regulation of striated muscle cell differentiation	19	0.14551826086140374
BP	GO:0002053	positive regulation of mesenchymal cell proliferation	19	0.14551826086140374
BP	GO:0006112	energy reserve metabolic process	19	0.14551826086140374
BP	GO:1900544	positive regulation of purine nucleotide metabolic process	19	0.14551826086140374
BP	GO:0032720	negative regulation of tumor necrosis factor production	19	0.14551826086140374
BP	GO:0042100	B cell proliferation	19	0.14551826086140374
BP	GO:0035329	hippo signaling	19	0.14551826086140374
BP	GO:0055023	positive regulation of cardiac muscle tissue growth	19	0.14551826086140374
BP	GO:0045981	positive regulation of nucleotide metabolic process	19	0.14551826086140374
BP	GO:0050732	negative regulation of peptidyl-tyrosine phosphorylation	19	0.14551826086140374
BP	GO:0050856	regulation of T cell receptor signaling pathway	19	0.14551826086140374
BP	GO:0032386	regulation of intracellular transport	163	0.14698624971606508
BP	GO:0042176	regulation of protein catabolic process	163	0.14698624971606508
BP	GO:0061136	regulation of proteasomal protein catabolic process	83	0.14755660984266666
BP	GO:0070507	regulation of microtubule cytoskeleton organization	84	0.15042020882473495
BP	GO:0050707	regulation of cytokine secretion	84	0.15042020882473495
BP	GO:0050867	positive regulation of cell activation	165	0.15089104266669512
BP	GO:0051252	regulation of RNA metabolic process	1149	0.15092394826351302
BP	GO:0010556	regulation of macromolecule biosynthetic process	1234	0.1510468963124819
BP	GO:0045661	regulation of myoblast differentiation	20	0.1525847654853626
BP	GO:0030811	regulation of nucleotide catabolic process	20	0.1525847654853626
BP	GO:0045843	negative regulation of striated muscle tissue development	20	0.1525847654853626
BP	GO:0048635	negative regulation of muscle organ development	20	0.1525847654853626
BP	GO:1903556	negative regulation of tumor necrosis factor superfamily cytokine production	20	0.1525847654853626
BP	GO:1904707	positive regulation of vascular smooth muscle cell proliferation	20	0.1525847654853626
BP	GO:0033146	regulation of intracellular estrogen receptor signaling pathway	20	0.1525847654853626
BP	GO:0034260	negative regulation of GTPase activity	20	0.1525847654853626
BP	GO:0008625	extrinsic apoptotic signaling pathway via death domain receptors	20	0.1525847654853626
BP	GO:0006110	regulation of glycolytic process	20	0.1525847654853626
BP	GO:0046580	negative regulation of Ras protein signal transduction	20	0.1525847654853626
BP	GO:0120163	negative regulation of cold-induced thermogenesis	20	0.1525847654853626
BP	GO:0046579	positive regulation of Ras protein signal transduction	20	0.1525847654853626
BP	GO:0010823	negative regulation of mitochondrion organization	20	0.1525847654853626
BP	GO:0010828	positive regulation of glucose transmembrane transport	20	0.1525847654853626
BP	GO:0060421	positive regulation of heart growth	20	0.1525847654853626
BP	GO:0046928	regulation of neurotransmitter secretion	20	0.1525847654853626
BP	GO:1904019	epithelial cell apoptotic process	20	0.1525847654853626
BP	GO:0051966	regulation of synaptic transmission, glutamatergic	20	0.1525847654853626
BP	GO:0016192	vesicle-mediated transport	431	0.1530545404280296
BP	GO:0042129	regulation of T cell proliferation	85	0.15329577475211675
BP	GO:0031326	regulation of cellular biosynthetic process	1257	0.15497670256638943
BP	GO:0016310	phosphorylation	434	0.15574598178926363
BP	GO:0080090	regulation of primary metabolic process	1727	0.15606603993877824
BP	GO:0043470	regulation of carbohydrate catabolic process	21	0.15959514962192592
BP	GO:0038034	signal transduction in absence of ligand	21	0.15959514962192592
BP	GO:0097192	extrinsic apoptotic signaling pathway in absence of ligand	21	0.15959514962192592
BP	GO:0042059	negative regulation of epidermal growth factor receptor signaling pathway	21	0.15959514962192592
BP	GO:1901862	negative regulation of muscle tissue development	21	0.15959514962192592
BP	GO:0045668	negative regulation of osteoblast differentiation	21	0.15959514962192592
BP	GO:0003143	embryonic heart tube morphogenesis	21	0.15959514962192592
BP	GO:0035305	negative regulation of dephosphorylation	21	0.15959514962192592
BP	GO:0090183	regulation of kidney development	21	0.15959514962192592
BP	GO:0042475	odontogenesis of dentin-containing tooth	21	0.15959514962192592
BP	GO:2000242	negative regulation of reproductive process	21	0.15959514962192592
BP	GO:0051058	negative regulation of small GTPase mediated signal transduction	21	0.15959514962192592
BP	GO:0009889	regulation of biosynthetic process	1278	0.16064344758872903
BP	GO:0044403	symbiont process	286	0.16273502525940298
BP	GO:0016032	viral process	286	0.16273502525940298
BP	GO:0032886	regulation of microtubule-based process	89	0.16491044155172835
BP	GO:1901185	negative regulation of ERBB signaling pathway	22	0.16654984053844957
BP	GO:0046825	regulation of protein export from nucleus	22	0.16654984053844957
BP	GO:0006986	response to unfolded protein	22	0.16654984053844957
BP	GO:0045600	positive regulation of fat cell differentiation	22	0.16654984053844957
BP	GO:0071364	cellular response to epidermal growth factor stimulus	22	0.16654984053844957
BP	GO:1905954	positive regulation of lipid localization	22	0.16654984053844957
BP	GO:0034109	homotypic cell-cell adhesion	22	0.16654984053844957
BP	GO:0050994	regulation of lipid catabolic process	22	0.16654984053844957
BP	GO:0050771	negative regulation of axonogenesis	22	0.16654984053844957
BP	GO:0017158	regulation of calcium ion-dependent exocytosis	22	0.16654984053844957
BP	GO:0051172	negative regulation of nitrogen compound metabolic process	796	0.16712841369410553
BP	GO:1903047	mitotic cell cycle process	306	0.1688996433713127
BP	GO:0051056	regulation of small GTPase mediated signal transduction	91	0.17078026198149332
BP	GO:0002683	negative regulation of immune system process	176	0.17297727012379363
BP	GO:0090199	regulation of release of cytochrome c from mitochondria	23	0.1734492623881821
BP	GO:0051196	regulation of coenzyme metabolic process	23	0.1734492623881821
BP	GO:1901030	positive regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway	23	0.1734492623881821
BP	GO:0048565	digestive tract development	23	0.1734492623881821
BP	GO:0043491	protein kinase B signaling	23	0.1734492623881821
BP	GO:0032148	activation of protein kinase B activity	23	0.1734492623881821
BP	GO:0061045	negative regulation of wound healing	23	0.1734492623881821
BP	GO:0010464	regulation of mesenchymal cell proliferation	23	0.1734492623881821
BP	GO:1901028	regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway	23	0.1734492623881821
BP	GO:0046324	regulation of glucose import	23	0.1734492623881821
BP	GO:0048662	negative regulation of smooth muscle cell proliferation	23	0.1734492623881821
BP	GO:0051057	positive regulation of small GTPase mediated signal transduction	23	0.1734492623881821
BP	GO:0035306	positive regulation of dephosphorylation	23	0.1734492623881821
BP	GO:0048863	stem cell differentiation	23	0.1734492623881821
BP	GO:0031324	negative regulation of cellular metabolic process	830	0.1753686403506086
BP	GO:0031396	regulation of protein ubiquitination	94	0.1796553968546492
BP	GO:0048260	positive regulation of receptor-mediated endocytosis	24	0.1802938362354764
BP	GO:0015980	energy derivation by oxidation of organic compounds	24	0.1802938362354764
BP	GO:0060078	regulation of postsynaptic membrane potential	24	0.1802938362354764
BP	GO:0042632	cholesterol homeostasis	24	0.1802938362354764
BP	GO:0035966	response to topologically incorrect protein	24	0.1802938362354764
BP	GO:0046622	positive regulation of organ growth	24	0.1802938362354764
BP	GO:0055092	sterol homeostasis	24	0.1802938362354764
BP	GO:0035335	peptidyl-tyrosine dephosphorylation	24	0.1802938362354764
BP	GO:2001169	regulation of ATP biosynthetic process	24	0.1802938362354764
BP	GO:0021987	cerebral cortex development	24	0.1802938362354764
BP	GO:0030890	positive regulation of B cell proliferation	24	0.1802938362354764
BP	GO:0023052	signaling	180	0.18124560334086418
BP	GO:0071396	cellular response to lipid	181	0.1833309535258799
BP	GO:0033043	regulation of organelle organization	535	0.18455575624465137
BP	GO:1901215	negative regulation of neuron death	96	0.18561523851931613
BP	GO:0031330	negative regulation of cellular catabolic process	96	0.18561523851931613
BP	GO:0030336	negative regulation of cell migration	96	0.18561523851931613
BP	GO:0050679	positive regulation of epithelial cell proliferation	96	0.18561523851931613
